,Restaurant Name,Negative Sentiment,Positive Sentiment,Address
4355,Dhaka Biryani House - Mirpur 12,6,14,"Dhaka, Bangladesh"
4356,Dhaka Biryani House - Oxygen,9,11,"Dhaka, Bangladesh"
4357,Dhaka Biryani House- Gaibandha,18,2,"Dhaka, Bangladesh"
4358,Dhaka Castle Restaurant,19,1,"Dhaka, Bangladesh"
4359,Dhaka Chicken,8,12,"Dhaka, Bangladesh"
4360,Dhaka Chotpoti & Fuchka House,18,2,"Dhaka, Bangladesh"
4361,Dhaka Chotpoti and Fuska House,15,5,"Dhaka, Bangladesh"
4362,Dhaka Dessert Shop,11,9,"81/5, Indira road , Tejgaon, Dhaka, 1215 Dhaka"
4365,Dhaka Dine,2,18,"Dhaka, Bangladesh"
4366,Dhaka Doi Fuchka & Chotpoti  House,1,19,"Dhaka, Bangladesh"
4367,Dhaka Fast Food & Biryani House,8,12,"Dhaka, Bangladesh"
4368,Dhaka Fastfood & Bar-Be-Que,19,1,"Dhaka, Bangladesh"
4369,Dhaka Food Chinese Restaurant and Bangla Party Center,1,19,"Dhaka, Bangladesh"
4370,Dhaka Food Gallery,17,3,"Dhaka, Bangladesh"
4371,Dhaka Food Hub,9,11,"Dhaka, Bangladesh"
4372,Dhaka Foods,5,15,"Dhaka, Bangladesh"
4373,Dhaka Fry King Momo Station,8,12,"Dhaka, Bangladesh"
4374,Dhaka Haji Biriyani - 1,9,11,"Dhaka, Bangladesh"
4375,Dhaka Haji Biriyani -4,15,5,"Dhaka, Bangladesh"
4376,Dhaka Haji Biryani - 2,9,11,"Dhaka, Bangladesh"
4377,Dhaka Haji Biryani -3,19,1,"Dhaka, Bangladesh"
4378,Dhaka Haji Biryani House,4,16,"Dhaka, Bangladesh"
4379,Dhaka Haji Biryani House - Gopalganj,2,18,"Dhaka, Bangladesh"
4380,Dhaka Hajir Biryani,18,2,"Dhaka, Bangladesh"
4381,Dhaka Hazi Biriyani House - Mid town,19,1,"Dhaka, Bangladesh"
4382,Dhaka Hazi Biryani - Palbari,17,3,"Dhaka, Bangladesh"
4383,Dhaka Hazi Biryani House -Central Road,2,18,"Dhaka, Bangladesh"
4384,Dhaka Hazi Nanna Biryani House And Restaurant,5,15,"Dhaka, Bangladesh"
4385,Dhaka Hotel,6,14,"Dhaka, Bangladesh"
4386,Dhaka Hotel & Restaurant,4,16,"Dhaka, Bangladesh"
4387,Dhaka Inside,7,13,"Dhaka, Bangladesh"
4388,Dhaka Jakir Shahi Biryani House,13,7,"Dhaka, Bangladesh"
4389,Dhaka Jinjira,20,0,"Dhaka, Bangladesh"
4390,Dhaka Kacchi Biryani and Kebab House,5,15,"Dhaka, Bangladesh"
4391,Dhaka Khana,14,6,"Dhaka, Bangladesh"
4392,Dhaka Khana 2,4,16,"Dhaka, Bangladesh"
4393,Dhaka Khichuri House - Mirpur,2,18,"Dhaka, Bangladesh"
4394,Dhaka Kitchen,8,12,"Dhaka, Bangladesh"
4395,Dhaka Lalbagh Biryani,1,19,"Dhaka, Bangladesh"
4396,Dhaka Metro,18,2,"Dhaka, Bangladesh"
4397,Dhaka Muslim Sweets & Bakery - Mirpur,1,19,"Dhaka, Bangladesh"
4398,Dhaka Nanna Biryani House,14,6,"Dhaka, Bangladesh"
4399,Dhaka Nanna Biryani House-Shapla,14,6,"Dhaka, Bangladesh"
4400,Dhaka Rannaghor,4,16,"Dhaka, Bangladesh"
4401,Dhaka Restaurant & Biryani House,8,12,"Dhaka, Bangladesh"
4402,Dhaka Shahi Biryani  House-Paira Chattor,15,5,"Dhaka, Bangladesh"
4403,Dhaka Shahi Biryani House-Shapla,11,9,"Dhaka, Bangladesh"
4404,Dhaka Tehari Ghor,5,15,"Dhaka, Bangladesh"
4405,Dhaka Tehari House & Burger House,18,2,"Dhaka, Bangladesh"
4406,Dhakai Biryani House,19,1,"Dhaka, Bangladesh"
4407,Dhakai Biryani House - Chowk Bazar,7,13,"Dhaka, Bangladesh"
4408,Dhakai Chap,7,13,"Dhaka, Bangladesh"
4409,Dhakai Nanna Biryani House,16,4,"Dhaka, Bangladesh"
4410,Dhakai biryani house premium,19,1,"Dhaka, Bangladesh"
4411,Dhakaiya - Sylhet,18,2,"Dhaka, Bangladesh"
4412,Dhakaiya - Uposhahor,7,13,"Dhaka, Bangladesh"
4413,Dhakaiya Alu Puri,6,14,"Dhaka, Bangladesh"
4414,Dhakaiya Baburchi,6,14,"Dhaka, Bangladesh"
4415,Dhakaiya Biryani House 2.O,10,10,"Dhaka, Bangladesh"
4416,Dhakaiya Burger,12,8,"Dhaka, Bangladesh"
4417,Dhakaiya Chaap,11,9,"Dhaka, Bangladesh"
4418,Dhakaiya Chaapkhana,8,12,"Dhaka, Bangladesh"
4419,Dhakaiya Chap - Sadar Hospital,4,16,"Dhaka, Bangladesh"
4420,Dhakaiya Chap Ghor & Biryani House,12,8,"Dhaka, Bangladesh"
4421,Dhakaiya Chotpoti-Fuchka & Doi Fuchka,10,10,"Dhaka, Bangladesh"
4422,Dhakaiya Dosa House,4,16,"Dhaka, Bangladesh"
4423,Dhakaiya Fuchka,13,7,"Dhaka, Bangladesh"
4424,Dhakaiya Kacchi Ghor,13,7,"Dhaka, Bangladesh"
4425,Dhakaiya Khanapina,13,7,"Dhaka, Bangladesh"
4426,Dhakaiya Mezzban,14,6,"Dhaka, Bangladesh"
4427,Dhakaiya Shad,19,1,"Dhaka, Bangladesh"
4428,Dhakaiya Special Burger House,10,10,"Dhaka, Bangladesh"
4429,Dhakar Bari Restora,6,14,"Dhaka, Bangladesh"
4430,Dhakar Mama Haleem,20,0,"Dhaka, Bangladesh"
4431,Dhakaya Chicken Shawarma,8,12,"Dhaka, Bangladesh"
4432,Dhamrai Dulal Fuchka,18,2,"Dhaka, Bangladesh"
4433,Dhanmondi Pitha Ghor,19,1,"Dhaka, Bangladesh"
4434,Dhanshiri Hotel & Restaurant,6,14,"Dhaka, Bangladesh"
4435,Dhanshiri Hotel & Restora,2,18,"Dhaka, Bangladesh"
4436,Dhanshiri Restaurant,19,1,"Dhaka, Bangladesh"
4437,Dhanshiri Restaurant - 3,20,0,"Dhaka, Bangladesh"
4438,Dhanshiri Restora,7,13,"Dhaka, Bangladesh"
4439,Dhansiri Gold Restora,7,13,"Dhaka, Bangladesh"
4440,Dhansiri Restaurant - Mymensingh,12,8,"Dhaka, Bangladesh"
4441,Dhoa Restaurant,16,4,"Dhaka, Bangladesh"
4442,Dhonepata Restaurant & Catering,7,13,"Dhaka, Bangladesh"
4443,Dhoop Fuchka,5,15,"Dhaka, Bangladesh"
4444,Dhroupodi's Kitchen,5,15,"Dhaka, Bangladesh"
4445,Dhumketu's Kitchen,9,11,"Dhaka, Bangladesh"
4446,Diamond Biriyani,11,9,"Dhaka, Bangladesh"
4447,Diamond Biryani,4,16,"Dhaka, Bangladesh"
4448,Diamond Biryani & Grill,5,15,"Dhaka, Bangladesh"
4449,Diamond Frozen Food,8,12,"Dhaka, Bangladesh"
4450,Diamond Hotel,5,15,"285 West Dhanmondi, Road 8/A, 1205 Dhaka"
4463,Diamond Kitchen,13,7,"Dhaka, Bangladesh"
4464,Diba's Kitchen,8,12,"Dhaka, Bangladesh"
4465,Dibanishi Restaurant,1,19,"Dhaka, Bangladesh"
4466,Didar Bhai'r Chotpoti,15,5,"Dhaka, Bangladesh"
4467,Didir Nasta  Ghor,8,12,"Dhaka, Bangladesh"
4468,Diet House,7,13,"Dhaka, Bangladesh"
4469,Diganta Quality Food & Pastry - Shahjalal Market,4,16,"Dhaka, Bangladesh"
4470,Diganto Fast food & Bakery - Upozilla Gate,9,11,"Dhaka, Bangladesh"
4471,Diganto Pastry Shop Thana Road,14,6,"Dhaka, Bangladesh"
4472,Diganto Quality Food & Pastry - City Center,14,6,"Dhaka, Bangladesh"
4473,Diganto Thai Chinese & Kabab,5,15,"Dhaka, Bangladesh"
4474,Diggger,15,5,"Dhaka, Bangladesh"
4475,Dighir Chaap,3,17,"Dhaka, Bangladesh"
4476,Digital Sheba Ghar (Pandago),10,10,"Dhaka, Bangladesh"
4477,Dil Khush Juice Bar - 2 No. Gate,6,14,"Dhaka, Bangladesh"
4478,Dil Khush Juice Bar - Chawk Bazar,18,2,"Dhaka, Bangladesh"
4479,Dilaab Food,1,19,"Dhaka, Bangladesh"
4480,Dilder Bread & Sweets,2,18,"Dhaka, Bangladesh"
4481,Dilhy Bari,20,0,"Dhaka, Bangladesh"
4482,Dilruba Kebab & Curries,15,5,"Dhaka, Bangladesh"
4483,Dilruba's Cuisine,6,14,"Dhaka, Bangladesh"
4484,Dilruba's Kitchen,4,16,"Dhaka, Bangladesh"
4485,Dilshad,5,15,"Dhaka, Bangladesh"
4486,Dilshad Sweet,5,15,"Dhaka, Bangladesh"
4487,Dimsum Delight,6,14,"Dhaka, Bangladesh"
4488,Dina Ranna Ghor,18,2,"Dhaka, Bangladesh"
4489,Dina's Delight,9,11,"Dhaka, Bangladesh"
4490,Dinajpur Chotpoti O Fuchka House,15,5,"Dhaka, Bangladesh"
4491,Dinaâ€™s Dine-Uttara,1,19,"Dhaka, Bangladesh"
4492,Dine A Chaap by Tri State Eatery,7,13,"Dhaka, Bangladesh"
4493,Dine Divine,12,8,"Dhaka, Bangladesh"
4494,Dine Fine,8,12,"Dhaka, Bangladesh"
4495,Dine House - Nikunjo,9,11,"Dhaka, Bangladesh"
4496,Dine In Dhaba,8,12,"Dhaka, Bangladesh"
4497,Dine in a Metro,20,0,"Dhaka, Bangladesh"
4498,Diners Club,16,4,"Dhaka, Bangladesh"
4499,Dinette,4,16,"Dhaka, Bangladesh"
4500,Dingee Restaurant,6,14,"Dhaka, Bangladesh"
4501,Dinggi Fast Food,6,14,"Dhaka, Bangladesh"
4502,Dining Island,12,8,"Dhaka, Bangladesh"
4503,Dio's Espresso,4,16,"Dhaka, Bangladesh"
4504,Dip Foods,4,16,"Dhaka, Bangladesh"
4505,Dip In,4,16,"Dhaka, Bangladesh"
4506,Dip'z Pizza,11,9,"Dhaka, Bangladesh"
4507,Dipa Kitchen,2,18,"Dhaka, Bangladesh"
4508,Dipsha's Kitchen,4,16,"Dhaka, Bangladesh"
4509,Dish & Co,1,19,"Dhaka, Bangladesh"
4510,Dish & Spoon (Restaurant & Catering),20,0,"Dhaka, Bangladesh"
4511,DishCo,8,12,"Dhaka, Bangladesh"
4512,Divine Bites,15,5,"Dhaka, Bangladesh"
4513,Divine Cafe & Dine,15,5,"Dhaka, Bangladesh"
4514,Divine Cafe- Block B,2,18,"Dhaka, Bangladesh"
4515,Diyabari Restaurant Biryani & Kebab House,8,12,"Dhaka, Bangladesh"
4516,Doaan,5,15,"Dhaka, Bangladesh"
4517,Doctor's Kitchen,17,3,"Dhaka, Bangladesh"
4518,Doi Bari,13,7,"Dhaka, Bangladesh"
4519,Doi Bari & Juice Corner,2,18,"Dhaka, Bangladesh"
4520,Doi Bora,8,12,"Dhaka, Bangladesh"
4521,Doi Chira- Hawapara,15,5,"Dhaka, Bangladesh"
4522,Doi Fuchka Cafe,16,4,"Dhaka, Bangladesh"
4523,Doi Fuchka Hut,10,10,"Dhaka, Bangladesh"
4524,Doi Fuchka Hut - Afmi Plaza,16,4,"Dhaka, Bangladesh"
4525,Doi Fuska Ghor,2,18,"Dhaka, Bangladesh"
4526,Doi Ghor,7,13,"Dhaka, Bangladesh"
4527,Doi Hat Misty Bazar - Mymensingh,12,8,"Dhaka, Bangladesh"
4528,Doi Hat Misty Bazar - Uttara,9,11,"Dhaka, Bangladesh"
4529,Doi Misti,2,18,"Dhaka, Bangladesh"
4530,Doinik Ranna,20,0,"Dhaka, Bangladesh"
4531,Dolas Pastry,12,8,"Dhaka, Bangladesh"
4532,Dolce Vita Restaurant,2,18,"Dhaka, Bangladesh"
4533,Dolena's Dine,16,4,"Dhaka, Bangladesh"
4534,Doli's MOMO,18,2,"Dhaka, Bangladesh"
4535,Dolly's Kitchen,1,19,"Dhaka, Bangladesh"
4536,Doly's Kitchen,13,7,"Dhaka, Bangladesh"
4537,Dominous Pizza - Mirpur,4,16,"Dhaka, Bangladesh"
4538,Don Giovanni's Sizzler,16,4,"Dhaka, Bangladesh"
4539,Doner Dude,19,1,"Dhaka, Bangladesh"
4540,Donerci Turkiye Doner,19,1,"Dhaka, Bangladesh"
4541,Donia Juice Bar,16,4,"Dhaka, Bangladesh"
4542,Donmek,1,19,"Dhaka, Bangladesh"
4543,Donut's Heaven,17,3,"Dhaka, Bangladesh"
4544,Dorbar,3,17,"Dhaka, Bangladesh"
4545,Dos Locos Mexican Grill,10,10,"Dhaka, Bangladesh"
4546,Dos Locos Mexican Grill Chefs Table,17,3,"Dhaka, Bangladesh"
4547,Dosa Bhai,16,4,"Dhaka, Bangladesh"
4548,Dosa Express,1,19,"Dhaka, Bangladesh"
4549,Dosa House,15,5,"Dhaka, Bangladesh"
4550,Dosa Hut,2,18,"Dhaka, Bangladesh"
4551,Dosa Hut Coffee & Juice Bar,17,3,"Dhaka, Bangladesh"
4552,Dosai Restaurant,14,6,"Dhaka, Bangladesh"
4553,Dough,3,17,"Dhaka, Bangladesh"
4554,Dough & Cheese,8,12,"Dhaka, Bangladesh"
4555,Dowa Moni Biriyani House,11,9,"Dhaka, Bangladesh"
4556,Dowa's Kitchen,1,19,"Dhaka, Bangladesh"
4557,Down Town Cafe,19,1,"Dhaka, Bangladesh"
4558,Downtown Sirajganj,14,6,"Dhaka, Bangladesh"
4559,Doya Moni Biryani House,11,9,"Dhaka, Bangladesh"
4560,Dr. Green,1,19,"Dhaka, Bangladesh"
4561,Dragon Bowl - Superkitch,17,3,"84/a, 84/b, Block-E, Dhali Food Court, Bashundhara r/a, Vatara, 1229 Dhaka"
4568,Dragon Eye,5,15,"Dhaka, Bangladesh"
4569,Dream 20 Restaurant,8,12,"Dhaka, Bangladesh"
4570,Dream Baker's,16,4,"Dhaka, Bangladesh"
4571,Dream Baker's - 2,11,9,"Dhaka, Bangladesh"
4572,Dream Burger & Tea,18,2,"Dhaka, Bangladesh"
4573,Dream Burger House,18,2,"Dhaka, Bangladesh"
4574,Dream Cafe,11,9,"Dhaka, Bangladesh"
4575,Dream Cafe & Boutique,9,11,"Dhaka, Bangladesh"
4576,Dream Cafe & Chinese,7,13,"Dhaka, Bangladesh"
4577,Dream Cook,8,12,"Dhaka, Bangladesh"
4578,Dream Food Corner,5,15,"Dhaka, Bangladesh"
4579,Dream Food Industry,7,13,"Dhaka, Bangladesh"
4580,Dream Foods & Kebab,6,14,"Dhaka, Bangladesh"
4581,Dream Grill Restaurant,7,13,"Dhaka, Bangladesh"
4582,Dream Home Kitchen,17,3,"Dhaka, Bangladesh"
4583,Dream House Lakeview Restaurant,17,3,"Dhaka, Bangladesh"
4584,Dream Kitchen,1,19,"Dhaka, Bangladesh"
4585,Dream Kitchen-Barisal,16,4,"Dhaka, Bangladesh"
4586,Dream Maloncho & Biryani House,12,8,"Dhaka, Bangladesh"
4587,Dream Pizza,1,19,"Dhaka, Bangladesh"
4588,Dream Touch Fast Food & Chinese Restaurant,9,11,"Dhaka, Bangladesh"
4589,Drinks & Heart,16,4,"Dhaka, Bangladesh"
4590,Dubai Biryani House & Restaurant,1,19,"Dhaka, Bangladesh"
4591,Dubai Bristro,5,15,"Dhaka, Bangladesh"
4592,Dubai Cafe & Restaurant,15,5,"Dhaka, Bangladesh"
4593,Duck Link,18,2,"Dhaka, Bangladesh"
4594,Duck Link Tangail,9,11,"Dhaka, Bangladesh"
4595,Dudhsagor,12,8,"Dhaka, Bangladesh"
4596,Dugout,20,0,"Dhaka, Bangladesh"
4597,Dui Bhai Chotpoti & Fuchka,12,8,"Dhaka, Bangladesh"
4598,Dui Vai Restaurant,16,4,"Dhaka, Bangladesh"
4599,Dulal Mamar Chotpoti - Narsingdi,19,1,"Dhaka, Bangladesh"
4600,Dulavai Hotel,9,11,"Dhaka, Bangladesh"
4601,Dulce - Cheragi Pahar,10,10,"Dhaka, Bangladesh"
4602,Dum Biriyani,16,4,"Dhaka, Bangladesh"
4603,Dum Ladhidh - Uttara,15,5,"Dhaka, Bangladesh"
4604,Dumpling and More,12,8,"Dhaka, Bangladesh"
4605,Dumplings Of Fury (Picnic),13,7,"Dhaka, Bangladesh"
4606,Dumplings Xpress,20,0,"Dhaka, Bangladesh"
4607,Dumplings Xpress - 60 Feet,18,2,"Dhaka, Bangladesh"
4608,Dumplings Xpress - Mohammadpur - Engaze AI - pandago,9,11,"Dhaka, Bangladesh"
4609,Dumplings of Fury - Bashundhara,6,14,"Dhaka, Bangladesh"
4610,Dupurer Khabar,14,6,"Dhaka, Bangladesh"
4611,Dure No jaiyum Ende Khaiyum,9,11,"Dhaka, Bangladesh"
4612,Durum (Turkish Doner) - Dhanmondi,18,2,"Dhaka, Bangladesh"
4613,Dustu Mamar Pizza,2,18,"Dhaka, Bangladesh"
4614,Duudhwala - Uposhohor,15,5,"Dhaka, Bangladesh"
4615,E Cafe & Juice Bar,12,8,"Dhaka, Bangladesh"
4616,E-Food,16,4,"Dhaka, Bangladesh"
4617,EATON,15,5,"House 01, Road 07, Block H, South Banasree Main Road, Banasree, Dhaka 1219 IN front of Holly Cresent School & College, 1219 Dhaka"
4650,EFC Banasree,13,7,"Dhaka, Bangladesh"
4651,EHB Coffee Lime,13,7,"Dhaka, Bangladesh"
4652,EK Fast Food & Mini Chinese,17,3,"Dhaka, Bangladesh"
4653,EL Clasico 2.O - Jail,10,10,"Dhaka, Bangladesh"
4654,EL Foodee,3,17,"Dhaka, Bangladesh"
4655,EL TURKITO,19,1,"Dhaka, Bangladesh"
4656,ETTU,15,5,"Dhaka, Bangladesh"
4657,Easy Bites,3,17,"Dhaka, Bangladesh"
4658,Easy Recipe,17,3,"Dhaka, Bangladesh"
4659,Easy Recipe by Jannat,15,5,"Dhaka, Bangladesh"
4660,Easy Recipes By Sultana,15,5,"Dhaka, Bangladesh"
4661,Eat & Meet,10,10,"Dhaka, Bangladesh"
4662,Eat & Meet Restaurant - Gaibandha,10,10,"Dhaka, Bangladesh"
4663,Eat & Smile,19,1,"Dhaka, Bangladesh"
4664,Eat & Treat,11,9,"Dhaka, Bangladesh"
4665,Eat & Treat Restaurant & Party Center,5,15,"Dhaka, Bangladesh"
4666,Eat Da Meat BBQ & Sea Food,9,11,"Dhaka, Bangladesh"
4667,Eat Fresh - Eidgah,18,2,"Dhaka, Bangladesh"
4668,Eat Fun,13,7,"Dhaka, Bangladesh"
4669,Eat It,2,18,"Dhaka, Bangladesh"
4670,Eat It - Notunbazar,10,10,"Dhaka, Bangladesh"
4671,Eat N Bite,13,7,"Dhaka, Bangladesh"
4672,Eat Now,9,11,"Dhaka, Bangladesh"
4673,Eat Out,9,11,"Dhaka, Bangladesh"
4674,Eat Side Cafe,1,19,"Dhaka, Bangladesh"
4675,Eat Street,18,2,"Dhaka, Bangladesh"
4676,Eat'n Park,16,4,"Dhaka, Bangladesh"
4677,Eataliano,2,18,"Dhaka, Bangladesh"
4678,Eataria,9,11,"Dhaka, Bangladesh"
4679,Eater's Bay (FoodOx),12,8,"Dhaka, Bangladesh"
4680,Eatery,2,18,"Dhaka, Bangladesh"
4681,Eatery Restaurant,12,8,"Dhaka, Bangladesh"
4682,Eatgineerz,13,7,"Dhaka, Bangladesh"
4683,Eating Time,2,18,"Dhaka, Bangladesh"
4684,Eatzers,12,8,"Dhaka, Bangladesh"
4685,Eazdani Foods - PandaGo,10,10,"Dhaka, Bangladesh"
4686,Eco Friendly Family Food And Restaurants,7,13,"Dhaka, Bangladesh"
4687,Eden,1,19,"Dhaka, Bangladesh"
4688,Eden Restaurant & Kidz Zone,6,14,"Dhaka, Bangladesh"
4689,Edible BD - pandago,20,0,"Dhaka, Bangladesh"
4690,Edith,6,14,"Dhaka, Bangladesh"
4691,Edris Mamar Mojadar Chotpoti & Fuska,16,4,"Dhaka, Bangladesh"
4692,Eena's Kitchen,13,7,"Dhaka, Bangladesh"
4693,Ehan Hotel and Restaurant,4,16,"Dhaka, Bangladesh"
4694,Eju's Cuisine,4,16,"Dhaka, Bangladesh"
4695,Ek Chumuk,15,5,"Dhaka, Bangladesh"
4696,Ek Cup Cha & Juice Corner,3,17,"Dhaka, Bangladesh"
4697,Ek Cup Coffee,18,2,"Dhaka, Bangladesh"
4698,Ek Kamor,15,5,"Dhaka, Bangladesh"
4699,Ektu Shukh Hotel & Restaurant,19,1,"Dhaka, Bangladesh"
4700,El Clasico Cafe,5,15,"Dhaka, Bangladesh"
4701,El Foodee- Bells Park,3,17,"Dhaka, Bangladesh"
4702,El Olo,19,1,"Dhaka, Bangladesh"
4703,El Patron,14,6,"Dhaka, Bangladesh"
4704,El-Plato,1,19,"Dhaka, Bangladesh"
4705,Elaf Restaurant,3,17,"Dhaka, Bangladesh"
4706,Eleen Kitchen Khichuri House,16,4,"Dhaka, Bangladesh"
4707,Elegance Dine,10,10,"Dhaka, Bangladesh"
4708,Eleven - Food Park,10,10,"Dhaka, Bangladesh"
4709,Eleven Cafe,12,8,"Dhaka, Bangladesh"
4710,Elias Bhai Er Chotpoti And Fuchka House,2,18,"Dhaka, Bangladesh"
4711,Elias Kebab Wala,2,18,"Dhaka, Bangladesh"
4712,Elin's Kitchen,16,4,"Dhaka, Bangladesh"
4713,Elite Kitchen,7,13,"Dhaka, Bangladesh"
4714,Elixir-Rupayan,19,1,"Dhaka, Bangladesh"
4715,Ellie's Kitchen,16,4,"Dhaka, Bangladesh"
4716,Elma's Kitchen,7,13,"Dhaka, Bangladesh"
4717,Elza's Kitchen,1,19,"Dhaka, Bangladesh"
4718,Emoji Restaurant & Cafe,14,6,"Dhaka, Bangladesh"
4719,Emotion,4,16,"Dhaka, Bangladesh"
4720,Emotions Restaurant,14,6,"Dhaka, Bangladesh"
4721,Empire Kitchen,11,9,"Dhaka, Bangladesh"
4722,Emran Chotpoti Fuchka House,13,7,"Dhaka, Bangladesh"
4723,Emran's Home Kitchen,9,11,"Dhaka, Bangladesh"
4724,Encantos,1,19,"Shop no 111, level 03, Haji kujrot ali mollah super market, 1no harunabad, mirpur 12, Dhaka-1216., 1216 Dhaka"
4746,Energy & Taste - EAT,9,11,"Dhaka, Bangladesh"
4747,Enjoyment Cafe,7,13,"Dhaka, Bangladesh"
4748,Ensure Kitchen,6,14,"Dhaka, Bangladesh"
4749,Erina's Catering,5,15,"Dhaka, Bangladesh"
4750,Erina's Kitchen,13,7,"Dhaka, Bangladesh"
4751,Erum's Kitchen,5,15,"Dhaka, Bangladesh"
4752,Eshan Snack & Coffee House,17,3,"Dhaka, Bangladesh"
4753,Eshar Rosuighor,7,13,"Dhaka, Bangladesh"
4754,Eshita's Kitchen,7,13,"Dhaka, Bangladesh"
4755,Esho Kisu Khai,4,16,"Dhaka, Bangladesh"
4756,Esho Kisu Khai Chotpoti Fuchka,3,17,"Dhaka, Bangladesh"
4757,Esrat Catering Service,20,0,"Dhaka, Bangladesh"
4758,Esrat Home Kitchen,2,18,"Dhaka, Bangladesh"
4759,Estetico Cafe,13,7,"Dhaka, Bangladesh"
4760,Esti Kutum,11,9,"Dhaka, Bangladesh"
4761,Esti-Kutum Hotel,5,15,"Dhaka, Bangladesh"
4762,Etu's Relish,13,7,"Dhaka, Bangladesh"
4763,Ety Kitchen,14,6,"Dhaka, Bangladesh"
4764,Euro Food,20,0,"Dhaka, Bangladesh"
4765,Euro Hut Restaurant & Party Center,12,8,"Dhaka, Bangladesh"
4766,"Euro Hut, Dhanmondi 27",10,10,"Dhaka, Bangladesh"
4767,European Fast Food,11,9,"Dhaka, Bangladesh"
4768,European Lounge BD,18,2,"Dhaka, Bangladesh"
4769,Eva Burger House,3,17,"Dhaka, Bangladesh"
4770,Eva Mart BD - pandago,16,4,"Dhaka, Bangladesh"
4771,Eva's Kitchen,14,6,"Dhaka, Bangladesh"
4772,Even Better Cafe,8,12,"Dhaka, Bangladesh"
4773,Evening Spice,12,8,"Dhaka, Bangladesh"
4774,Evening Valley,11,9,"Dhaka, Bangladesh"
4775,Event Food,20,0,"Dhaka, Bangladesh"
4776,Evergreen Ghorowa Kitchen,1,19,"Dhaka, Bangladesh"
4777,Everyday Meal,19,1,"Dhaka, Bangladesh"
4778,Excelente Restaurant,14,6,"Dhaka, Bangladesh"
4779,Excellent Food,14,6,"Dhaka, Bangladesh"
4780,Excellent Home Made Food,2,18,"Dhaka, Bangladesh"
4781,Excellent Sweets - Bashundhara,18,2,"Dhaka, Bangladesh"
4782,Exclusive Food Zone,5,15,"Dhaka, Bangladesh"
4783,Executive Kitchen,2,18,"Dhaka, Bangladesh"
4784,Exit,13,7,"Dhaka, Bangladesh"
4785,Exit Juice Coffee Ice Cream,9,11,"Dhaka, Bangladesh"
4786,Exness Cafe,16,4,"Dhaka, Bangladesh"
4787,Exotic Bengali Food,20,0,"Dhaka, Bangladesh"
4788,Exotic Rooftop Restaurant,4,16,"Dhaka, Bangladesh"
4789,Exotica,4,16,"Dhaka, Bangladesh"
4790,Exotica Restaurant (Hotel Supreme),11,9,"Dhaka, Bangladesh"
4791,Express Eats,2,18,"Dhaka, Bangladesh"
4792,Express Pizza,3,17,"Dhaka, Bangladesh"
4793,Expressions - Chocolates & Cakes,20,0,"Dhaka, Bangladesh"
4794,Expressions - Chocolates and Cakes - pandago,5,15,"Dhaka, Bangladesh"
4795,F Fancy Home Food,11,9,"Dhaka, Bangladesh"
4796,F. Tyrin Kitchen,7,13,"Dhaka, Bangladesh"
4797,F.A Chefy Cafy,13,7,"Dhaka, Bangladesh"
4798,F.A Juice Bar,19,1,"Dhaka, Bangladesh"
4799,FARS Hotel & Resorts,3,17,"Dhaka, Bangladesh"
4800,FAT CHEF,12,8,"Dhaka, Bangladesh"
4801,FC Hotel & Fast Food,10,10,"Dhaka, Bangladesh"
4802,FD Chotpoti & Shahi Haleem,20,0,"Dhaka, Bangladesh"
4803,FFC,14,6,"Dhaka, Bangladesh"
4804,FFC Fast Food Corner,9,11,"Dhaka, Bangladesh"
4805,FK Shirin Food Service,16,4,"Dhaka, Bangladesh"
4806,FLORIAN,2,18,"Dhaka, Bangladesh"
4807,FNF Cake N Shake,9,11,"Dhaka, Bangladesh"
4808,FNF Pastry Shop,14,6,"Dhaka, Bangladesh"
4809,FNS EATERY,7,13,"Dhaka, Bangladesh"
4810,FOOD BANK,16,4,"Dhaka, Bangladesh"
4811,FOOD FAIR,18,2,"Dhaka, Bangladesh"
4812,FOOD KING,18,2,"Dhaka, Bangladesh"
4813,FOOD STOVE,9,11,"Dhaka, Bangladesh"
4814,FOOD WAVE CAFE,6,14,"Dhaka, Bangladesh"
4815,FOODFOORTI,11,9,"Dhaka, Bangladesh"
4816,FOODIES TOWN,10,10,"Dhaka, Bangladesh"
4817,FP Kitchen,19,1,"Dhaka, Bangladesh"
4818,FPS Nawabi Kebab,7,13,"Dhaka, Bangladesh"
4819,FRJ Bhorta Bari Restaurant Lalbagh,9,11,"Dhaka, Bangladesh"
4820,FRK Catering,6,14,"Dhaka, Bangladesh"
4821,FRUITIFY,3,17,"Dhaka, Bangladesh"
4822,Faasos - Agrabad,8,12,"Dhaka, Bangladesh"
4823,Faasos - Barisal,3,17,"Dhaka, Bangladesh"
4824,Faasos - Comilla,1,19,"Dhaka, Bangladesh"
4825,Faasos - Faridpur,12,8,"Dhaka, Bangladesh"
4826,Faasos - Khulna,8,12,"Dhaka, Bangladesh"
4827,Faasos - Lalbagh,10,10,"Dhaka, Bangladesh"
4828,Faasos - Rangpur,19,1,"Dhaka, Bangladesh"
4829,Faasos - Sylhet,9,11,"Dhaka, Bangladesh"
4830,Faasos - Tongi,2,18,"Dhaka, Bangladesh"
4831,Face Food,3,17,"Dhaka, Bangladesh"
4832,Facebook Cafe,19,1,"Dhaka, Bangladesh"
